Column1,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
0,Neil,Very friendly and will go that extra mile,en,2020-02-26T17:31:13Z,"Very friendly and will go that extra mile
The best company I’ve ever used
Not only a great company but also gave me the best deal

OUTSTANDING COMPANY",5,Rockar
1,Lavendranathan,Honestly speaking,en,2020-02-19T19:34:27Z,"Honestly speaking, my first visit to look the land rover Woodford branch ,they missed the opportunity to sell the car to me because their presentation is very poor and the  guy who was presenting to  me he  was not interested in selling the car. The next day I decided to got Westfield. A   girl who presented to me her name was Liyah Nguyen she was very helpful also she got excellent knowledge about land rover she have well dedication and fashion to work car showroom I believe Land Rover Westfield can’t loose kind this employee.",5,Rockar
2,Nanda,It is very good service,en,2020-02-19T18:39:46Z,It is very good service,5,Rockar
3,Johnson Ozegin,Excellent Customer Service,en,2020-02-19T17:34:56Z,Excellent Customer Service. I had the best experience buying a car. I look forward doing business with them in the future.,5,Rockar
4,Anshuman,Amazing experience,en,2020-02-18T13:17:24Z,"Amazing experience. Staff was very helpful and friendly. 
I will buy again from Rockar if i decide to go for another Land Rover in future.",5,Rockar
5,Charlotte,Brilliant service at Rockar,en,2020-02-16T16:43:27Z,Brilliant service at Rockar. Shah was exceptional. He explained and answered all our questions. We end up buying a car and look forward to the delivery.,5,Rockar
6,Richard,New Evoque ordered,en,2020-02-14T07:37:54Z,"I ordered a new Evoque through Rockar, 1st class service which exceeded expectations.  Most competitive price and friendly staff who are on hand to answer any queries.",5,Rockar
7,Jessica Bradley ,Excellent experience,en,2020-02-07T08:07:57Z,"Phenomenal customer service with a great approach to sales; I have the exact spec that I want, hassle-free and no pressure on add ons. Couldn’t have been a better experience— would highly recommend.",5,Rockar
8,Matthew,Superb Experience,en,2020-02-06T10:37:40Z,"From the in person showroom experience where you did not feel pressure or up selling, the personal handover of the car and ease of buying the vehicle online, it made the experience of buying our new car one of the easiest and less stressful we have ever had.",5,Rockar
9,Sally,Fab service,en,2020-01-29T12:43:03Z,Fab service - very thorough.,5,Rockar
10,Ron Hillcoat,Very helpful and attentive staff,en,2020-01-24T21:52:11Z,"Very helpful and attentive staff, made buying a new car easy and good value. Would recommend.",5,Rockar
11,Adeola,Superb service,en,2020-01-24T13:54:55Z,Superb service,5,Rockar
12,Vik,Excellent service,en,2020-01-22T10:41:24Z,"Excellent service, Great communication. Staff very knowledgable. Great experience.",5,Rockar
13,David Bourdon,Brilliant team at Rockcar...would not…,en,2020-01-22T10:22:15Z,Brilliant team at Rockar...would not hesitate to use them.,5,Rockar
14,Mitchell Rowland,Very good,en,2020-01-15T09:21:58Z,Very good.  Very easy process.,5,Rockar
15,Chan,Ben was great!,en,2020-01-12T16:19:29Z,"Ben was great! We went to get a car but it had unfortunately been bought online as we got there; nevertheless the service we revieved from Ben was amazing. Very down to earth and honest, showed us a few others and didn't go for a hard sell. I would highly recommend going here especially if you don't know too much about cars and want things explained in layman's terms.Thank you! This was the the Westfield Stratford city branch.",5,Rockar
16,Reshma,Good dealer,en,2020-01-07T17:15:15Z,Great way to buy a car where you feel like you’ve got a fair deal with proper value for money and all from a really helpful & professional sales-force,5,Rockar
17,Colin Humphrey,A great way to buy a Land Rover and the…,en,2020-01-07T16:35:03Z,A great way to buy a Land Rover and the best price,5,Rockar
18,Marjorie,Excellent customer service,en,2020-01-07T16:09:35Z,Excellent customer service. Kept us informed throughout buying process.,5,Rockar
19,George Peprah,Dealing with Rockar is a quite nice…,en,2020-01-07T14:23:50Z,Dealing with Rockar is a quite nice experience because the staffs have time and patient to listen to your concerns and find a remedy. I will always recommend.,5,Rockar
20,D Parnell,Really pleased with the service so far…,en,2020-01-07T14:10:49Z,"Really pleased with the service so far from Rockar, very prompt response to messages, and clear information provided.  Prices were highly competitive so went ahead with an order. now just a. case of awaiting my new car, and to see how the service is when I take delivery.",5,Rockar
21,simon jones,Great company,en,2020-01-07T12:39:15Z,"Great company, and a refreshing way to buy a car! No pushy sales people etc. Lovely.",5,Rockar
22,Stefan Wallington,Excellent experience throughout the…,en,2020-01-07T12:31:43Z,Excellent experience throughout the process. Car was delivered in excellent condition by a very knowledgable driver who gave an excellent handover and took his time walking us through everything. Rockar made the entire process easy and simple and very quick to complete.,5,Rockar
23,Sooruj,Natalya was very helpful and thoroughly…,en,2019-12-30T09:38:03Z,Natalya was very helpful and thoroughly assisted me in helping to build the ideal car while keeping my specifications in mind,5,Rockar
24,Jummy,Best experience yet in buying a car,en,2019-12-29T18:31:54Z,Best experience yet in buying a car! Enjoyed the relaxed way of discussing my needs with Ben. Left the showroom fully satisfied and looking forward to receiving my car in 2 weeks! Thanks Rockar,5,Rockar
25,horne 3214,The way car buying should be,en,2019-12-23T14:50:32Z,"The way car buying should be, the future of buying a new car.

the best ever experience of buying a new car, every single person whom helped made our experience perfect, from first contact right up until handover.",5,Rockar
26,Ekow,The service was excellent,en,2019-12-23T09:58:21Z,The service was excellent. The sales representative took time to explain issues and gave all the relevant information. The whole process was so smooth.,5,Rockar
27,Robert walsh ,Me and my wife visited Rockar on…,en,2019-12-17T18:04:43Z,"Me and my wife visited Rockar on Saturday to have a look at a Jaguar I Pace we was shown the car by Dorentina a lovely young lady who was very knowledgable about the car, she also arranged for us to have a test drive there and then. After the test drive we came back to the showroom and chose which model and what extras we would like.
All in all a very good experience with no pressure to buy. We look forward to receiving our new car.",5,Rockar
28,David Wren,Best price.,en,2019-12-16T17:06:02Z,Much easier than dealing with a showroom and way cheaper too.,5,Rockar
29,Suhail,Up to now it looks good,en,2019-12-11T15:38:01Z,Up to now it looks good,4,Rockar
30,Mozar St Catherine,The service was very good gggoand friendly,en,2019-12-09T21:38:15Z,The service was very good and friendly,5,Rockar
31,Antony,The service is as good as the store…,en,2019-12-09T17:04:47Z,The service is as good as the store which I led the design of While at Dalziel & Pow :),5,Rockar
32,lavie Drev,Looking forward to upgrading with Rockar,en,2019-12-06T13:21:31Z,"First thing first a massive 5 stars and thank you to Holly , Amy , Carolann, Sally , Siam ( delivery/ handover ) they have been patient, conversational and best advisers.
This is our review : Our local JLR being Rockar Stratford, we went there on a Saturday not quite sure what to expect. 
As soon as we entered the show room we were greeted by a pleasant gentleman who made us feel comfortable. In fairness we didn’t really have an idea of what we wanted or if we even wanted to buy a new car. 
But that gentleman gave us best advice on which trim , what options we needed ( and not wanted ) according to our budget. 
All paperworks, finances , options were clearly explained, changed and changed again by us but the Rockar team was always understanding.
Siam delivered and did the handover perfectly ,so by the time he left I knew everything I needed to know about our new car.
Anyway here we are , enjoying our new Disco Sport HSE and let me tell you something, we are looking forward to upgrading in 3 years with our Rockar Stratford.",5,Rockar
33,Jon,Brilliant service and super friendly…,en,2019-12-05T08:30:08Z,Brilliant service and super friendly staff,5,Rockar
34,Nigel Cutts,HOLLY AT ROCKSTAR IS A STAR!,en,2019-12-04T16:46:55Z,"I have to say that Holly at Rockar could not have been more helpful during my decision making process in buying a Jaguar XE R HSE. She was terrific from start to finish and I feel quite sorry that she didn't get the business. Sad to say she and my local dealer came up with the same price - and no, neither of them know what the other had quoted. So at the end it came down to ease of location and service in the future. 
Holly - you deserve to go far!",5,Rockar
35,Stephen,Excellent service and great price…,en,2019-12-04T11:53:01Z,Excellent service and great price (without the need to haggle),5,Rockar
