,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
0,Anne Jones,From new our Land rover discovery sport…,en,2020-03-04T15:18:48Z,"From new our Land rover discovery sport stop-start has never worked. The battery warning light comes on even after the battery has been fully charged. 
Two different service departments have never got to the bottom of the trouble! We have complained numerous times without a successful outcome! Still waiting after 5 years for anyone from Land Rover to contact us!",1,Land Rover
1,debbie egbaran,Service Department,en,2020-02-29T22:16:05Z,"To whom it may concern 
I wanted to make you aware of my recent experience with your service department at Range Rover Lancaster Milton Keynes. If I had to rate the service on a scale of 1-10 with 10 being excellent I would rate them as 0.5 absolutely unsatisfactory service in all areas.
On 17th February I took in my Range Rover ( which I had bought from them in July 2019) with a fault they had repaired already in November 2019 by them linked to the oil filter.
I was asked to leave the car with them and they would diagnose the fault, I was called on Tuesday 18th to say the oil ring needed to be changed and the car was under Warantee so that would cover the fault.
I was told that the car could only be repaired on the week beginning 24.02.20 as the centre was very busy( I completely understood) and hired a car in the interim.
However I called on Tuesday for an update but was told I would receive a call back, I called the Lancaster branch five times but no response and no return call. 
I called several times on Wednesday and once again was told I would receive a call back, when I did get a call I was told the car would be ready by the end of the week and the mechanics couldn’t test drive because of the rare tires( no further detailed information was provided) but that I would get a call back) 
When I didn’t get a call back on the Wednesday, I called back on Wednesday no answer, I called 6 times on Thursday and called 4 different times on Friday no response( this was outrageous) my husband then had to take day off work and drive from Bedford to MK to find out what was happening. I was left very frustrated at this point.
Finally I went on Friday evening to pick the car and found the tires in such a terrible state ( why had the service official not explained clearly the state of the tires I would have obviously asked them to change them there) 
So Saturday I then took the tires to to change and on getting to the mechanic was told the brake pads are in an appalling state as well ( which was not told me in detail my yourself)

I am so disappointed with the service in Lancaster having my car for two weeks  and not explaining to me about the tires and brake pads and being unable to reach anyone whatsoever on the phone to get an update about my vehicle.
Now I’m using the next two weeks to sort out the tires and brake pads. 

I think it is very important that your service department is corrected so no one else needs to go through what I have been through recently.",1,Land Rover
2,Henry,KEEP WELL AWAY,en,2020-02-24T16:14:24Z,"!!! KEEP WELL AWAY !!!
Review for: Land Rover Birmingham North Jardine Motors: 
I drove all the way from London to Birmingham to view a £40K Range Rover Sport this dealership had, and for them to view my Mercedes C63 part exchange. Put a deposit down on the car and agreed a price for my part-ex. 
All seems well so far.. two people lied about the cars previous history, it's now had two previous owners, not one as stated. The money owed back to me for my part-ex over £15k was promised cleared the following day.. still a week later and I didn't have my money. The car was delivered filthy inside and outside. It did not come with a full years MOT which should do under Land Rover approved, sim card reader still does not work, no one has replied to me emails about these complaints since Feb 5th 2020, 3 WEEKS AGO!! No one answers emails or calls. Fiona Wardle and Kevin Andrews obviously are too busy having their staff lie to their customers than resolve people's issues. I've given them 3 weeks to respond and NOTHING",1,Land Rover
3,Kim Goss,I have never experienced such shocking service,en,2020-02-24T09:23:49Z,"I have never experienced such shocking customer service at any dealership. My car came in for its first service and needed the balancer shaft replacing. At no point was I kept informed of when I would get my car back. When I eventually did get it back I drove a short distance and the coolant light came on. Topped it up but it’s continued to come on. Called the garage who suggested I pop it in and they’ll check the levels and didn’t sound convinced when I said I’d done that several times and the light was still coming on, only booking the car in when I insisted. Booked a courtesy car weeks in advance, spoke to them the day before to confirm everything only to arrive to discover there was no courtesy car. I am at my wits end with this company. They are shockingly bad and I will not be using them again any time soon.",1,Land Rover
4,Roger Road,Appalling service,en,2020-02-23T14:36:46Z,Appalling service,1,Land Rover
5,Steve Sherwin,Dishonest slimy gangsters,en,2020-02-22T01:10:13Z,"l where do I start Stafford landrover sold me a car last year which had recently had a mot not to my knowledge or disclosure, with this report attached and was not disclosed to me . So 12 months on its Gone for a service and mot and guess what they bring up exactly what was wrong 12 months previously and not only that say they can do the rear brakes only for 520 pounds to which I say no and they say why because it's too expensive oh we can maybe do you a better price so why try it on dirty RIP off bastaxxs, they are not to be trusted in any way they will RIP you off as soon as look at you I did get the brakes done for 200 pounds by the way . There is more to this story ie exhaust 1620 pounds mr sherwin cant mend needs replacing which I had checked at a reputable garage and they couldn't find a fault please please people dont get involved with this place they are absolute criminals. Oh you can have a new tyre too for 265 pound oh and it's funny how the front tires are worn on the inside on the mot 12 months ago and all of sudden 12 months later the rear on the report tires are worn on th inside any chance they might have been swapped mmnnmmmm I wonder??? These lot are no better than a back street con merchant oh and please management contact me for an apology because I cant wait to come in and see you for a discussion .",1,Land Rover
6,Mrs Maria Anderson,Poor Dealership Servicing,en,2020-02-14T11:36:06Z,"We were considering chopping in our RangeRover for a new Discovery and our younger Discovery to a Velar next, but now the Range Rover has another problem with EML...yet again creating Performance restrictions - stopping and re-starting on a shoulderless M3 - such fun!  Build up of soot on the the mass air flow sensor this time and last tme it was the exhaust pressure sensor where a wire had snapped apparently.  Soot build up is not covered on a service or on warranty...be warned.  This is a 2016 vehicle so not that old.  If this is an issue that can create safety being put at risk, it should be part of one of the services to check!  What has annoyed us most of all is that yet again, service have no loan cars available for 6 weeks. Something they don't tell you when you buy a new car.  Not the service person's fault, but the people at the top at this dealership.  This is always the case with this particular Guy Salmon branch.  They are just not geared up for the amount of business they have.  Never heard anything like it. We've got to sort out another method of transport or damage our own business. BMW never had this issue with providing an emergency loan car when a serious fault has occurrred under warranty. Audi have just opened a huge new dealership in Farnborough, right on our doorstep. Really, not happy and will be considering our upgrade options for sure.",1,Land Rover
7,Greg Chandle,Want to say a massive thank you to…,en,2020-02-11T10:18:13Z,Want to say a massive thank you to Kevin at Land Rover for getting me my dream car in time for my 40th birthday didn’t give up until he got me what I wanted I’m very hard work with ocd so not the easiest to please but he did it I’ve already recommend him to a friend will be back in two years for another so helpful and made it an enjoyable experience even the very posh Phil helped massive thank you Kevin. You are the best,5,Land Rover
8,Paul Harding,Land Rover Discovery Sport Engine…,en,2020-02-10T15:15:51Z,Land Rover Discovery Sport Engine replaced at 10000 miles after long debate with Land Rover now developed another major fault at 22000 miles  and the icing on the cake they do not have any parts at Land Rover.Has anybody managed to get any substantial mileage out of these ingenium engine's would love to sell car but word has got round .,1,Land Rover
9,SPR,Worst service EVER!,en,2020-02-10T14:21:14Z,"Worst service EVER!
I purchased an ex-Landrover Management vehicle, 2 years ago. The InControl Remote Premium subscription has recently expired and I paid £260 to renew for 12 months. The process in order to complete the licence renewal was appalling. The web site failed to recognise my sign in details. When I called the relevant Landrover telephone number I was given incorrect information. I visited my dealership on 3 occasions who failed to resolve the issue. When it was eventually resolved I had spent over 4 hours on telephone calls , driven over 30 miles and wasted a further 3 hours on site.
My InControl Pro Services is now due to expire. The cost of renewing this service for one year is a further £89. I have decided not to waste any more money with Jaguar Landrover so have chosen to download the latest map and let my account expire. I am able to sign into my account on my tablet and mobile but I need to sign in on a laptop in order to download the latest map to a USB stick. When I try to log in on the laptop the system fails to recognise me. A further 20 minutes on the telephone has failed to resolve the issue.
Don’t get me wrong, I like the vehicle but unfortunately the Customer Service, both central and at the dealership, has been well below the standard I would expect, particularly having spent in excess of £40k with them. I will be changing the vehicle in 12 months time but will certainly not be buying another Jaguar Landrover.",1,Land Rover
